id,title,main_story,main_plus_extras,completionist,developers,publishers,platforms,genres
19,.hack//G.U. Vol. 1: Rebirth,20.5,25.5,39,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
20,.hack//G.U. Vol. 2: Reminisce,22.5,35.5,50,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
21,.hack//G.U. Vol. 3: Redemption,23.5,32.5,48,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing"
50336,.hack//G.U. Vol. 4: Reconnection,2,2.5,5,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4",Role-Playing
22,.hack//Infection,18,20.5,28.5,"CyberConnect2 Co., Ltd.",Bandai S.A.,PlayStation 2,"Action, role-playing"
24,.hack//Mutation,16.5,21.5,32,CyberConnect2,Bandai Games,PlayStation 2,"Action, role-playing"
25,.hack//Outbreak,19.5,20,22,CyberConnect2,Bandai,PlayStation 2,Action RPG
26,.hack//Quarantine,17.5,20.5,24.5,CyberConnect2,Bandai,PlayStation 2,Action RPG
27,007 Legends,6.5,7.5,9,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter"
21789,1 Moment of Time: Silentville,3,3,4.5,2 Monkeys,Jetdogs Studios,PC,"Adventure, Hidden Object"
17213,10 Second Ninja,1,2,4,GameDesignDan,Mastertronic,PC,Action
38775,10 Second Ninja X,2,7.5,21,Four Circle Interactive,Curve Digital,"PC, PlayStation 4, PlayStation Vita, Xbox One","Action, Platform"
16627,100% Orange Juice,7,25,70.5,Orange_Juice,Fruitbat Factory,PC,Board Game
37,1000 Amps,4,4,5,Brandon Brizzi,Brandon Brizzi,PC,"Adventure, Platform, Puzzle"
19077,1001 Spikes,7,11.5,15.5,8bits Fanatics,Nicalis,"PC, PlayStation 4, PlayStation Vita, Xbox One",Platform
40,102 Dalmatians: Puppies to the Rescue,6.5,7.5,8.5,"Crystal Dynamics, Toys for Bob",Eidos Interactive,"Dreamcast, Game Boy Color, PC, PlayStation","Action, Platformer"
41,1080 Snowboarding,3,7,11.5,Nintendo EAD,Nintendo,"Nintendo 64, Wii, Wii U",Racing
42,1080° Avalanche,4.5,8.5,18.5,NST,Nintendo,Nintendo GameCube,"Arcade, Sports"
34,10-Yard Fight,0.35,0.683333333,1.5,Irem,Irem,NES,Sports
25033,12 is Better Than 6,4.5,5.5,7,Ink Stains Games,Pinkapp Games,PC,"Top-Down, Shooter"
26959,12 Labours of Hercules II: The Cretan Bull,5.5,7,8.5,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
29286,12 Labours of Hercules III: Girl Power,5.5,6.5,9,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
34053,12 Labours of Hercules IV: Mother Nature,7,7,8.5,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
43884,12 Labours of Hercules VI: Race for Olympus,9,10,10,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
60891,12 Labours of Hercules VII: Fleecing the Fleece,9,9,9,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy
